id,1,2,3,4
1,0,28,262,577
2,54,502,209,22
3,694,379,46,0
4,546,217,16,0
5,36,404,685,80
6,0,65,474,246
7,0,15,230,466
8,0,27,303,580
9,624,301,20,0
10,19,171,188,22
11,210,486,56,0
12,573,210,25,0
13,434,177,14,0
14,15,173,187,25
15,78,862,1098,121
16,249,580,79,0
17,455,225,21,0
18,211,452,66,0
19,0,62,548,205
20,21,198,456,59
21,25,258,799,109
22,490,207,14,0
23,0,17,219,462
24,0,80,535,246
25,646,1071,130,0
26,17,220,542,56
27,49,485,207,28
28,0,65,595,268
29,0,20,301,907
30,220,509,74,0
31,0,109,883,557
32,493,191,26,0
33,62,605,181,22
34,567,220,20,0
35,0,14,216,477
36,4,72,735,246
37,0,71,540,175
38,0,28,178,133
39,0,23,261,475
40,537,220,17,0
41,492,212,16,0
42,248,690,72,0
43,35,388,761,180
44,0,59,453,197
45,0,19,205,473
46,530,222,22,0
47,531,204,16,0
48,0,62,538,194
49,477,223,21,0
50,523,237,14,0
51,67,511,227,22
52,213,236,32,0
53,214,549,68,0
54,18,254,498,74
55,25,357,41,0
56,21,192,466,50
57,0,10,232,569
58,506,228,27,0
59,88,767,332,22
60,533,260,27,0
61,79,652,249,21
62,0,10,206,464
63,0,25,269,570
64,0,37,469,980
65,691,1025,108,0
66,2,26,241,545
67,13,213,664,78
68,268,613,71,0
69,602,300,40,0
70,0,16,216,564
71,18,225,494,54
72,22,206,446,54
73,0,63,546,258
74,205,488,77,0
75,17,209,446,49
76,0,15,202,460
77,477,205,24,0
78,492,195,11,0
79,64,490,230,23
80,0,95,764,264
81,0,30,282,572
82,19,165,416,65
83,0,22,214,493
84,0,10,216,429
85,75,768,1316,159
86,25,251,755,114
87,59,451,824,80
88,134,1054,628,51
89,309,727,95,0
90,23,211,527,75
91,63,533,236,27
92,0,28,222,541
93,0,22,245,731
94,14,253,570,69
95,661,263,32,0
96,526,286,21,0
97,0,31,447,197
98,614,253,24,0
99,0,180,1772,951
100,0,24,227,613
101,0,37,459,1087
102,19,206,502,53
103,432,191,18,0
104,117,878,230,14
105,0,19,324,570
106,981,633,55,0
107,577,234,25,0
108,28,247,872,98
109,668,265,18,0
110,410,710,83,0
111,61,456,68,0
112,0,31,288,659
113,0,66,626,291
114,24,202,484,81
115,14,169,457,56
116,2,94,695,279
117,33,234,485,60
118,45,483,206,23
119,0,32,296,769
120,528,238,18,0
121,0,58,465,158
122,0,24,219,449
123,573,249,22,0
124,71,550,247,23
125,0,27,318,578
126,210,557,46,0
127,0,67,492,235
128,55,530,267,26
129,219,568,66,0
130,13,239,511,55
131,1,67,507,230
132,618,342,29,0
133,451,201,25,2
134,0,38,297,38
135,471,184,16,0
136,204,573,73,2
137,0,67,719,1589
138,0,60,567,275
139,189,498,57,0
140,24,242,585,65
141,3,82,573,233
142,96,822,288,50
143,475,173,22,0
144,272,522,72,0
145,0,81,588,234
146,0,61,481,204
147,28,349,800,107
148,0,53,488,196
149,276,504,71,0
150,266,540,69,0
151,0,20,256,524
152,18,213,505,50
153,21,229,580,68
154,0,58,470,205
155,605,230,30,0
156,1,21,187,496
157,57,502,229,26
158,0,60,534,228
159,141,1045,465,50
160,0,60,456,216
161,64,508,249,22
162,206,520,60,2
163,437,182,16,0
164,87,502,248,16
165,0,16,218,522
166,502,211,22,0
167,50,438,197,12
168,141,1173,311,22
169,0,64,578,243
170,0,47,474,211
171,0,19,237,512
172,52,495,1100,115
173,0,53,502,215
174,21,174,188,26
175,0,56,615,240
176,862,240,14,0
177,64,576,238,21
178,0,62,529,233
179,0,41,317,34
180,506,216,22,0
181,206,577,69,0
182,0,66,624,303
183,85,818,533,51
184,31,312,610,64
185,592,275,25,0
186,490,217,12,0
187,0,16,222,683
188,301,1068,120,0
189,214,501,63,0
190,31,220,588,66
191,0,53,519,207
192,333,611,64,0
193,574,207,11,0
194,59,584,264,14
195,0,24,231,599
196,683,289,29,0
197,0,9,213,502
198,0,61,469,169
199,183,175,19,0
200,0,71,524,205
201,56,437,166,20
202,0,19,200,469
203,483,214,12,0
204,377,667,77,0
205,591,240,16,0
206,0,24,233,554
207,0,16,250,602
208,63,564,293,30
209,56,511,237,13
210,0,55,509,215
211,0,18,216,486
212,918,267,14,0
213,25,221,480,60
